title,original_title,budget,original_language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,genres,spoken_languages,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
Happily,Happily,0,en,https://www.commonwall.com/films/happily,"Tom and Janet have been happily married for years. But a visit from a mysterious stranger leads to a dead body, a lot of questions, and a tense couples' trip with friends who may not actually be friends at all.",13.448,96,0,2021-03-19,5.7,110,"['Comedy', 'Romance', 'Science Fiction', 'Thriller']",['English'],United States of America,https://www.nytimes.com/2021/03/18/movies/happily-review.html,"In this keeps-you-guessing comedy, Joel McHale and Kerry Bishé play a couple married for 14 years whose mutual passion is undimmed, to the annoyance of their friends.",The New York Times,"subject: Movies;creative_works: Happily (Movie);persons: Grabinski, BenDavid;",2021-03-18T11:00:06+0000,344,‘Happily’ Review: Does Long-Lived Love Mean You Need Treatment?,,,Happily,,,,By Glenn Kenny,
This Is the Life,This Is the Life,0,en,http://www.goodlifelove.com,"In 1989, a collective of young hip hop artists gathered at a health food café in South Central Los Angeles. Their mandate? To reject gang culture and expand the musical boundaries of hip hop. DuVernay's documentary chronicles the historic legacy of the Good Life Cafe — the open mic nights that became an L.A. institution, the eclectic array of talented young MCs that emerged there, the alternative hip hop movement they developed, and their worldwide influence on the artform.",1.649,97,0,2008-02-08,6.4,7,"['Documentary', 'Music']",['English'],United States of America,https://www.nytimes.com/2021/02/23/movies/this-is-the-life-review.html,"Ava DuVernay’s 2008 documentary, now streaming on Netflix, is a personal love letter to a slice of Los Angeles’s 1990s hip-hop scene.",The New York Times,"subject: Documentary Films and Programs;subject: Rap and Hip-Hop;persons: DuVernay, Ava;subject: Black People;subject: Blacks;glocations: California;glocations: Los Angeles (Calif);creative_works: This Is the Life (Movie);",2021-02-23T19:47:00+0000,470,‘This Is the Life’ Review: A Valuable Part of Hip-Hop History,Critic’s Pick,,A Love Letter to 1990s California Hip-Hop,,,,By Robert Daniels,
To All the Boys: Always and Forever,To All the Boys: Always and Forever,0,en,https://www.netflix.com/title/81040397,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.,30.449,115,0,2021-02-12,7.566,1860,"['Romance', 'Comedy', 'Drama']","['English', 'Korean']",United States of America,https://www.nytimes.com/2021/02/11/movies/to-all-the-boys-always-and-forever-review.html,"This final installment of the Netflix rom-com trilogy is earnest, bright-eyed and without a hint of cynicism.",The New York Times,"subject: Movies;persons: Condor, Lana;persons: Fimognari, Michael;persons: Centineo, Noah;creative_works: To All the Boys: Always and Forever (Movie);",2021-02-12T02:00:03+0000,482,‘To All the Boys: Always and Forever’ Review: Love Sweet Love,,,A Rom-Com Sequel That May Cause Cavities,,,,By Maya Phillips,
Young Hearts,Young Hearts,0,nl,https://www.polar-bear.tv/young-hearts,"Fourteen-year-old Elias increasingly feels like an outsider in his village. When he meets his new neighbour of the same age, Alexander, Elias is confronted with his burgeoning sexuality.",21.78,97,0,2024-10-10,0.0,0,"['Drama', 'Family']","['Dutch', 'French']","Belgium, Netherlands",https://www.nytimes.com/2021/02/11/movies/young-hearts-review.html,"The brother and sister filmmakers Sarah Sherman and Zachary Ray Sherman deliver romance, unadorned.",The New York Times,"subject: Movies;creative_works: Young Hearts (Movie);persons: Sherman, Sarah (Film Director);persons: Sherman, Zachary Ray (1984- );",2021-02-11T12:00:06+0000,324,‘Young Hearts’ Review: Movie Love by Algorithm,,,Young Hearts,,,,By Kristen Yoonsoo Kim,
Little Fish,Little Fish,0,en,https://www.littlefish.movie,A couple fights to hold their relationship together as a memory loss virus spreads and threatens to erase the history of their love and courtship.,31.822,101,39053,2021-02-05,7.013,187,"['Romance', 'Science Fiction', 'Drama']",['English'],"Canada, United States of America",https://www.nytimes.com/2021/02/04/movies/little-fish-review.html,This sci-fi romance imagines a world with widespread memory loss through the eyes of one couple.,The New York Times,"subject: Movies;creative_works: Little Fish (Movie);persons: Hartigan, Chad;",2021-02-04T12:00:06+0000,315,‘Little Fish’ Review: Do You Remember Love?,,,Little Fish,,,,By Kristen Yoonsoo Kim,
Two of Us,Two of Us,0,tl,,"Empress Schuck and Ejay Falcon star in this psychological thriller as two people who find each other while trying to make a living in a foreign country. But as time passes, underneath the sweet moments lie a toxic relationship that sparks violent tendencies.",1.843,103,0,2024-04-10,0.0,0,"['Drama', 'Thriller']",['Tagalog'],Philippines,https://www.nytimes.com/2021/02/04/movies/two-of-us-review-thwarted-love.html,An older lesbian couple is met with unexpected devastation in this aching romantic drama by Filippo Meneghetti.,The New York Times,"subject: Movies;persons: Sukowa, Barbara;creative_works: Two of Us (Movie);persons: Meneghetti, Filippo;",2021-02-04T12:00:03+0000,313,‘Two of Us’ Review: Thwarted Love,,,Two of Us,,,,By Beatrice Loayza,
Atlantis,Atlantis,0,fr,,"Atmospheric soundtrack follows this compilation of nature footage that focuses on the ocean and various life forms that live, mate and die in it.",6.626,74,138,1991-08-21,6.254,46,"['Music', 'Documentary']",['French'],"France, Italy",https://www.nytimes.com/2021/01/21/movies/atlantis-review-a-bleak-apocalypse-love-story.html,"Ukraine’s official Oscar entry, the movie depicts an all-too-convincing dystopia, with no fancy gadgets or cars.",The New York Times,"subject: Movies;creative_works: Atlantis (Movie);persons: Vasyanovych, Valentyn;",2021-01-21T12:00:06+0000,320,‘Atlantis’ Review: A Bleak Apocalypse Love Story,Critic’s Pick,,Atlantis,,,,By Glenn Kenny,
Preparations to Be Together,Felkészülés meghatározatlan ideig tartó együttlétre,1000000,hu,,"Márta, a 40-year-old neurosurgeon, falls in love. She leaves her shining American career behind and returns to Budapest to start a new life with the man she loves. But she waits for him at the Liberty Bridge in vain - he does not appear at their rendezvous. Márta starts to search for him desperately, but when she finally finds him, the love of her life claims that they have never met before.",23.981,95,117368,2020-09-24,6.2,32,['Drama'],"['English', 'Hungarian']",Hungary,https://www.nytimes.com/2021/01/21/movies/preparations-to-be-together-for-an-unknown-period-of-time-review.html,A neurosurgeon pursues the man of her dreams in this simmering portrait of obsession by the Hungarian filmmaker Lili Horvat.,The New York Times,"subject: Movies;creative_works: Preparations to Be Together for an Unknown Period of Time (Movie);persons: Horvat, Lili;",2021-01-21T12:00:03+0000,438,‘Preparations to Be Together’ Review: Mysteries of Love,Critic’s Pick,,"Neurosurgeon, Heal Thyself",,,,By Beatrice Loayza,
Your Name Engraved Herein,刻在你心底的名字,0,zh,,"In 1987, as martial law ends in Taiwan, Jia-han and Birdy fall in love amid family pressure, homophobia and social stigma.",49.669,114,0,2020-09-30,7.885,243,"['Romance', 'Drama']","['Mandarin', 'English']","Taiwan, United States of America",https://www.nytimes.com/2020/12/24/movies/review-your-name-engraved-herein.html,The filmmaker Patrick Liu keeps the focus on the two young men in this Taiwanese drama and blurs the rest.,The New York Times,"subject: Movies;glocations: Taiwan;persons: Liu, Patrick (Filmmaker);creative_works: Your Name Engraved Herein (Movie);",2020-12-24T12:00:06+0000,295,‘Your Name Engraved Herein’ Review: When Love Is All You Can See,,,Your Name Engraved Herein,,,,By Teo Bugbee,
Sylvie’s Love,Sylvie's Love,0,en,https://www.amazon.com/dp/B08L49K11S,"When a young woman meets an aspiring saxophonist in her father’s record shop in 1950s Harlem, their love ignites a sweeping romance that transcends changing times, geography, and professional success.",11.171,114,0,2020-01-27,6.298,89,"['Romance', 'Drama']",['English'],United States of America,https://www.nytimes.com/2020/12/22/movies/sylvies-love-review.html,Tessa Thompson and Nnamdi Asomugha star in a swoony love story that wonderfully rethinks the classic Hollywood melodrama.,The New York Times,"subject: Movies;persons: Asomugha, Nnamdi;persons: King, Aja Naomi;persons: Longoria, Eva;persons: Thompson, Tessa;glocations: Harlem (Manhattan, NY);creative_works: Sylvie's Love (Movie);persons: Ashe, Eugene;",2020-12-22T19:12:32+0000,1022,"‘Sylvie’s Love’ Review: In the Mood for Romance, Sighs and Tears",Critic’s Pick,,"Young Lovers Swoon, as Young Lovers Should",,,,By Manohla Dargis,
"Ariana Grande: Excuse Me, I Love You","ariana grande: excuse me, i love you",0,en,https://www.netflix.com/title/81238721,Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,12.021,97,0,2020-12-21,8.08,350,"['Music', 'Documentary']",['English'],United States of America,https://www.nytimes.com/2020/12/21/movies/review-ariana-grande-excuse-me-i-love-you.html,"Sometimes it’s enough to adore a pop star from afar, even if you aren’t an Arianator.",The New York Times,"subject: Pop and Rock Music;subject: Documentary Films and Programs;creative_works: Ariana Grande: Excuse Me, I Love You (Movie);persons: Grande, Ariana;persons: Dugdale, Paul (1980- );subject: Content Type: Personal Profile;",2020-12-22T03:50:45+0000,380,"‘Ariana Grande: Excuse Me, I Love You’ Review: It’s Mutual",Streaming,,"Excuse Me, the Feeling Is Mutual",,,,By Chris Azzopardi,
Museum Town,Museum Town,0,en,https://www.museumtownmovie.com/,A rural American town suffering economically from factory closures finds an unconventional route to recovery with the help of MASS MoCA.,4.217,75,0,2019-03-10,0.0,0,['Documentary'],['English'],United States of America,https://www.nytimes.com/2020/12/17/movies/museum-town-review.html,This documentary looks at how a contemporary art museum in Western Massachusetts transformed a struggling small town.,The New York Times,"subject: Documentary Films and Programs;subject: Art;creative_works: Museum Town (Movie);persons: Trainer, Jennifer;organizations: Massachusetts Museum of Contemporary Art;subject: Museums;glocations: North Adams (Mass);",2020-12-17T15:49:52+0000,280,‘Museum Town’ Review: A Love Letter to Mass MoCA,,,Museum Town,,,,By Lovia Gyarkye,
Wild Mountain Thyme,Wild Mountain Thyme,0,en,,"Headstrong farmer Rosemary Muldoon has her heart set on winning her neighbour Anthony Reilly's love. The problem is, Anthony seems to have inherited a family curse, and remains oblivious to his beautiful admirer. Stung by his father's plans to sell the family farm to his American nephew, Anthony is jolted into pursuing his dreams.",14.734,102,0,2020-12-11,5.17,165,"['Romance', 'Drama']",['English'],"Ireland, United Kingdom",https://www.nytimes.com/2020/12/10/movies/wild-mountain-thyme-review.html,John Patrick Shanley adapts his play “Outside Mullingar” into a movie. (Don’t worry about the accents.),The New York Times,"subject: Movies;persons: Shanley, John Patrick;persons: Blunt, Emily;persons: Dornan, Jamie;creative_works: Outside Mullingar (Play);creative_works: Wild Mountain Thyme (Movie);",2020-12-10T12:00:04+0000,341,‘Wild Mountain Thyme’ Review: Finding Love Down on the Farm,,,Wild Mountain Thyme,,,,By Glenn Kenny,
My Psychedelic Love Story,My Psychedelic Love Story,0,en,https://www.sho.com/titles/3497302/my-psychedelic-love-story,An examination of the notorious high priest of LSD Timothy Leary through the eyes of his famed lover Joanna Harcourt-Smith.,2.323,107,0,2020-10-22,6.3,7,['Documentary'],['English'],United States of America,https://www.nytimes.com/2020/11/26/movies/my-psychedelic-love-story-review.html,"This Errol Morris documentary explores the relationship between the LSD guru and Joanna Harcourt-Smith, a woman who likened herself to Mata Hari.",The New York Times,"subject: Documentary Films and Programs;creative_works: My Psychedelic Love Story (Movie);persons: Harcourt-Smith, Joanna (1946-2020);persons: Morris, Errol;subject: LSD (Lysergic Acid Diethylamide);subject: Content Type: Personal Profile;",2020-11-26T12:00:05+0000,599,‘My Psychedelic Love Story’ Review: On the Run With Timothy Leary,Critic’s Pick,,Acid and Romance: On the Run With Timothy Leary,,,,By Glenn Kenny,
69: The Saga of Danny Hernandez,69: The Saga of Danny Hernandez,0,en,https://www.hulu.com/movie/69-the-saga-of-danny-hernandez-345025ec-5022-4cca-a5f7-d3870fce96b3,"Part investigative documentary, part real-life gangster movie, this film unpacks the life of polarizing rap sensation and internet troll Tekashi69, aka 69, while chronicling his meteoric rise and fall from fame.",2.628,101,0,2021-04-29,6.0,12,"['Music', 'Documentary']",['English'],United States of America,https://www.nytimes.com/2020/11/17/movies/69-saga-of-danny-hernadez-review.html,The rise and fall of the provocative rapper Tekashi69 is chronicled in this Hulu documentary.,The New York Times,"subject: Documentary Films and Programs;subject: Rap and Hip-Hop;persons: Gandhi, Vikram;persons: 6ix9ine (Rapper);creative_works: 69: The Saga of Danny Hernandez (Movie);",2020-11-17T19:07:20+0000,363,‘69: The Saga of Danny Hernandez’ Review: A SoundCloud-Rap Rat,,,"Loved in Hip-Hop, but Loathed in the End",,,,By Calum Marsh,
Ammonite,Ammonite,0,en,https://www.ammonite-movie.com,"In 1840s England, palaeontologist Mary Anning and a young woman sent by her husband to convalesce by the sea develop an intense relationship. Despite the chasm between their social spheres and personalities, Mary and Charlotte discover they can each offer what the other has been searching for: the realisation that they are not alone. It is the beginning of a passionate and all-consuming love affair that will defy all social bounds and alter the course of both lives irrevocably.",19.564,118,1396905,2020-11-13,7.004,548,"['Romance', 'Drama']",['English'],United Kingdom,https://www.nytimes.com/2020/11/12/movies/ammonite-review.html,Kate Winslet’s fossil hunter and Saoirse Ronan’s convalescent embark on a forbidden seaside romance.,The New York Times,"subject: Movies;persons: Ronan, Saoirse;persons: Winslet, Kate;persons: Lee, Francis (1969- );creative_works: Ammonite (Movie);",2020-11-12T12:00:04+0000,510,‘Ammonite’ Review: Love on the Rocks,Critic’s Pick,,Love on the Rocks,,,,By Jeannette Catsoulis,
Love and Monsters,Love and Monsters,30000000,en,https://www.paramountmovies.com/movies/love-and-monsters,"Seven years since the Monsterpocalypse began, Joel Dawson has been living underground in order to survive. But after reconnecting over radio with his high school girlfriend Aimee, Joel decides to venture out to reunite with her, despite all the dangerous monsters that stand in his way.",43.189,109,1122066,2020-10-16,7.314,3938,"['Comedy', 'Action', 'Adventure', 'Science Fiction']",['English'],United States of America,https://www.nytimes.com/2020/10/15/movies/love-and-monsters-review.html,The new sci-fi adventure from Michael Matthews lacks the self-seriousness of typical dystopian flicks but doesn’t completely lack depth.,The New York Times,"persons: Matthews, Michael (Film Director);subject: Movies;creative_works: Love and Monsters (Movie);",2020-10-15T11:00:07+0000,284,‘Love and Monsters’ Review: Coming-of-Age After the Apocalypse,,,Love and Monsters,,,,By Lovia Gyarkye,
Dick Johnson Is Dead,Dick Johnson Is Dead,0,en,https://www.netflix.com/title/80234465,"With this inventive portrait, director Kirsten Johnson seeks a way to keep her 86-year-old father alive forever. Utilizing moviemaking magic and her family’s dark humor, she celebrates Dr. Dick Johnson’s last years by staging fantasies of death and beyond. Together, dad and daughter confront the great inevitability awaiting us all.",7.381,89,0,2020-01-23,7.2,124,['Documentary'],['English'],United States of America,https://www.nytimes.com/2020/10/01/movies/dick-johnson-is-dead-review.html,"With the help of her father, the documentary filmmaker Kirsten Johnson made a surprising, endearing movie about his death.",The New York Times,"creative_works: Dick Johnson Is Dead (Movie);subject: Documentary Films and Programs;persons: Johnson, Kirsten (1965- );creative_works: Cameraperson (Movie);subject: Death and Dying;",2020-10-01T11:00:08+0000,816,"‘Dick Johnson Is Dead’ Review: A Father’s Painful, Funny Goodbye",Critic’s pick,,A Love Letter Delivered Along With a Death Notice,,,,By Manohla Dargis,
"Love, Guaranteed","Love, Guaranteed",0,en,https://www.netflix.com/title/81076898,A lawyer takes on a new client that wants to sue a dating website because it guarantees love.,15.248,91,0,2020-09-02,6.404,634,"['Romance', 'Comedy']",['English'],United States of America,https://www.nytimes.com/2020/09/03/movies/love-guaranteed-review-swiping-left-on-online-dating.html,Rachael Leigh Cook stars in this rom-com about a lawyer and her charming new client who wants to sue a dating website for falsely promising love.,The New York Times,"subject: Movies;persons: Cook, Rachael Leigh;persons: Wayans, Damon Jr;persons: Johnson, Mark Steven;creative_works: Love, Guaranteed (Movie);",2020-09-03T07:01:05+0000,343,"‘Love, Guaranteed’ Review: Swiping Left on Online Dating",,,"Love, Guaranteed",,,,By Natalia Winkelman,
Feel the Beat,Feel the Beat,0,en,https://www.netflix.com/title/80994878,"After failing to make it on Broadway, April returns to her hometown and reluctantly begins training a misfit group of young dancers for a competition.",26.647,107,0,2020-06-19,7.6,1097,"['Comedy', 'Music', 'Drama']","['Turkish', 'English']","Canada, United States of America",https://www.nytimes.com/2020/06/19/movies/feel-the-beat-review.html,A prickly professional dancer becomes a reluctant instructor for a preteen dance troupe in this formulaic dramedy.,The New York Times,"subject: Movies;persons: Carson, Sofia (1993- );persons: Down, Elissa (1975- );creative_works: Feel the Beat (Movie);",2020-06-19T07:01:02+0000,253,‘Feel the Beat’ Review: Tough Love in the Dance Studio,,,A Young Troupe Needs Some Ballet Tough Love,,,,By Natalia Winkelman,
Babyteeth,Babyteeth,0,en,http://babyteeth.movie,A terminally ill teen upsets her parents when she falls in love with a small-time drug dealer.,12.67,118,989310,2020-06-15,6.9,332,"['Drama', 'Comedy', 'Romance']",['English'],Australia,https://www.nytimes.com/2020/06/18/movies/babyteeth-review.html,"Eliza Scanlen plays a seriously ill high schooler who falls for the wrong guy who turns out to have the right stuff, after all.",The New York Times,"subject: Movies;creative_works: Babyteeth (Movie);persons: Murphy, Shannon (Film Director);persons: Scanlen, Eliza;persons: Wallace, Toby (1996- );",2020-06-18T16:31:36+0000,517,"‘Babyteeth’ Review: Love Means Never Having, Well, You Know",,,"Love Means Never Having, Well, You Know",,,,By Manohla Dargis,
Spelling the Dream,Spelling the Dream,0,en,https://www.netflix.com/title/81069312,"Since 1999, 18 of the last 22 winners of the Scripps National Spelling Bee have been Indian-American, making the incredible trend one of the longest in sports history. “Breaking the Bee” is a feature-length documentary that explores and celebrates this new dynasty while following four students, ages 7 to 14, as they vie for the title of spelling bee champion.",2.117,82,0,2020-06-03,7.0,12,['Documentary'],['English'],United States of America,https://www.nytimes.com/2020/06/03/movies/spelling-the-dream-review.html,"This Netflix documentary explores the unbroken Indian-American dominance of the U.S. national spelling bee, to less than winning results.",The New York Times,"subject: Documentary Films and Programs;subject: Scripps National Spelling Bee;persons: Rega, Sam;creative_works: Spelling the Dream (Movie);subject: Spelling;organizations: Netflix Inc;",2020-06-03T12:44:10+0000,296,‘Spelling the Dream’ Review: Words of Inspiration,,,Love of Language Spells Success,,,,By Bilal Qureshi,
A Secret Love,A Secret Love,0,en,https://www.netflix.com/title/80209024,"Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges.",9.259,83,0,2020-04-29,7.3,116,['Documentary'],['English'],United States of America,https://www.nytimes.com/2020/04/29/movies/a-secret-love-review.html,"This tender film explores the partnership between two women who lived, in public and to kin, as dear friends for six decades.",The New York Times,"subject: Documentary Films and Programs;subject: Homosexuality and Bisexuality;persons: Bolan, Chris (Filmmaker);creative_works: A Secret Love (Movie);",2020-04-29T07:01:02+0000,309,‘A Secret Love’ Review: A Lesbian Couple’s Enduring Affection,,,Making a Haven of Their Own,,,,By Natalia Winkelman,
Love Wedding Repeat,Love Wedding Repeat,0,en,https://www.netflix.com/title/80227754,"While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl that got away in alternate versions of the same day.",18.14,100,0,2020-04-10,5.6,688,"['Comedy', 'Romance']","['English', 'Italian']","United Kingdom, Italy",https://www.nytimes.com/2020/04/10/movies/love-wedding-repeat-review-a-tumble-down-the-aisle.html,A couple’s reception becomes a disaster (or does it?) in this comedy of multiple errors.,The New York Times,"subject: Movies;creative_works: Love Wedding Repeat (Movie);persons: Craig, Dean (1974- );persons: Claflin, Sam;persons: Munn, Olivia;",2020-04-10T07:01:05+0000,414,‘Love Wedding Repeat’ Review: A Tumble Down the Aisle,Movie Review,,Pratfalling Down The Aisle,,,,By Amy Nicholson,
Almost Love,甜蜜蜜,0,cn,,"Jun arrives in Hong Kong from mainland China, hoping to be able to earn enough money to marry his girlfriend back home. He meets the streetwise Qiao and they become friends. As friendship turns into love, problems develop, and although they seem meant for each other they somehow keep missing out.",14.324,116,0,1996-11-02,7.8,137,"['Drama', 'Romance']","['Cantonese', 'Mandarin', 'English']",Hong Kong,https://www.nytimes.com/2020/04/02/movies/almost-love-review.html,This ensemble comedy treats class solidarity as the love that dare not speak its name.,The New York Times,"subject: Movies;creative_works: Almost Love (Movie);persons: Doyle, Mike (1972- );",2020-04-02T11:00:03+0000,408,"‘Almost Love’ Review: Schooled in Romance, but Missing Class",,,"Schooled in Romance, but Missing Class",,,,By Teo Bugbee,
Hope Gap,Hope Gap,0,en,https://www.originpictures.co.uk/hope-gap,"Grace lives an idyllic life in a British seaside town, but her world soon comes crashing down when her husband of 29 years tells her he's leaving her for another woman. Through stages of shock, disbelief and anger -- and with support from her son -- Grace ultimately regains her footing while learning it's never too late to be happy.",16.379,100,1136167,2019-10-03,6.315,124,['Drama'],['English'],United Kingdom,https://www.nytimes.com/2020/03/05/movies/hope-gap-review-a-thin-line-between-love-and-war.html,Annette Bening and Bill Nighy play a couple that has lost its way after 29 years of marriage.,The New York Times,"subject: Movies;persons: Bening, Annette;persons: Nighy, Bill;persons: Nicholson, William (1948- );creative_works: Hope Gap (Movie);",2020-03-05T12:00:03+0000,257,‘Hope Gap’ Review: A Thin Line Between Love and War,,,Hope Gap,,,,By Aisha Harris,
All the Bright Places,All the Bright Places,0,en,https://www.netflix.com/title/80208802,Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.,32.344,108,0,2020-02-28,7.65,2813,"['Romance', 'Drama']",['English'],United States of America,https://www.nytimes.com/2020/02/28/movies/all-the-bright-places-review.html,Elle Fanning and Justice Smith breathe life into a film about mental illness and the healing power of love.,The New York Times,"subject: Movies;creative_works: All the Bright Places (Movie);persons: Haley, Brett;persons: Fanning, Elle;persons: Smith, Justice (1995- );organizations: Netflix Inc;",2020-02-28T08:01:07+0000,233,‘All the Bright Places’ Review: Love Amid Trauma,Streaming Movie Review,,A Refreshing Exploration of Mental Illness,,,,By Candice Frederick,
The Photograph,The Photograph,16000000,en,https://www.thephotographmovie.com/,"When famed photographer Christina Eames dies unexpectedly, she leaves her estranged daughter, Mae, hurt, angry and full of questions. When Mae finds a photograph tucked away in a safe-deposit box, she soon finds herself delving into her mother's early life -- an investigation that leads to an unexpected romance with a rising journalist.",11.877,106,20690779,2020-02-14,6.409,203,"['Drama', 'Romance']",['English'],"Canada, United States of America",https://www.nytimes.com/2020/02/13/movies/the-photograph-review.html,Issa Rae and a terrific Lakeith Stanfield play a New York couple whose romance sends them and the story into the past.,The New York Times,"subject: Movies;creative_works: The Photograph (Movie);persons: Meghie, Stella;persons: Rae, Issa;persons: Stanfield, Lakeith;",2020-02-13T20:54:33+0000,862,‘The Photograph’ Review: An Unabashedly Old-School Love Story,,,An Unabashedly Old-School Love Story,,,,By Manohla Dargis,
You Go to My Head,You Go To My Head,0,fr,http://yougotomyhead.com/,"Following a mysterious car accident in the desert, Dafne suffers from post-traumatic amnesia. Jake, the first person she sees when she regains consciousness, tells her he's her husband.",1.962,116,0,2017-10-26,6.5,11,"['Drama', 'Mystery', 'Romance', 'Thriller']","['French', 'English']","Belgium, France, Germany",https://www.nytimes.com/2020/02/13/movies/you-go-to-my-head-review.html,A mysterious architect persuades an amnesiac that she’s his wife in this elusive romance set in the Sahara.,The New York Times,"subject: Movies;creative_works: You Go to My Head (Movie);persons: de Clercq, Dimitri;",2020-02-13T12:00:05+0000,292,‘You Go to My Head’ Review: Untrue Love,Critic’s Pick,,Designing a Love Story,,,,By Jeannette Catsoulis,
Ordinary Love,Ordinary Love,0,en,https://bleeckerstreetmedia.com/ordinary-love-film,An extraordinary look at the lives of a middle-aged couple in the midst of the wife's breast cancer diagnosis.,14.991,92,0,2019-12-06,6.877,134,"['Drama', 'Romance']",['English'],"Ireland, United Kingdom",https://www.nytimes.com/2020/02/12/movies/ordinary-love-review.html,Lesley Manville and Liam Neeson play a married couple facing a cancer diagnosis.,The New York Times,"subject: Movies;creative_works: Ordinary Love (Movie);persons: Neeson, Liam;persons: Manville, Lesley;persons: D'Sa, Lisa Barros;persons: Leyburn, Glenn;",2020-02-12T19:46:45+0000,569,‘Ordinary Love’ Review: In Sickness and in Health,,,Old-Sweater Lives,,,,By A.O. Scott,
To All the Boys: P.S. I Still Love You,To All the Boys: P.S. I Still Love You,0,en,https://www.netflix.com/title/81030842,Lara Jean and Peter have just taken their romance from pretend to officially real when another recipient of one of her love letters enters the picture.,38.432,102,0,2020-02-03,6.848,2492,"['Romance', 'Comedy']",['English'],United States of America,https://www.nytimes.com/2020/02/11/movies/to-all-the-boys-ps-i-still-love-you-review.html,The second installment in Netflix’s ’80s-style teen romance trilogy asks the question John Hughes left unanswered.,The New York Times,"subject: Movies;persons: Condor, Lana;persons: Centineo, Noah;creative_works: To All the Boys: PS I Still Love You (Movie);persons: Fimognari, Michael;",2020-02-11T18:33:41+0000,654,"‘To All the Boys: P.S. I Still Love You’ Review: Bliss, for Now",Streaming Movie Review,,"Follow Your Bliss While It Lasts, Kids",,,,By Amy Nicholson,
The Woman Who Loves Giraffes,The Woman Who Loves Giraffes,0,en,,"Dr. Anne Innis Dagg re-traces the steps of her groundbreaking 1956 journey to South Africa to study giraffes in the wild. Now, at 85 years old, Anne sees a startling contrast between the world of giraffes she once knew and the one it has become. Weaving through the past and present, her harrowing journey gives us an intimate look into the factors that destroyed her career and the forces that brought her back.",2.857,81,0,2018-10-03,6.7,16,['Documentary'],[],"Canada, South Africa, United States of America",https://www.nytimes.com/2020/01/09/movies/the-woman-who-loves-giraffes-review.html,"This warm documentary uses one woman’s singular passion to fuel a tale of zoological discovery, blatant sexism and environmental alarm.",The New York Times,"subject: Documentary Films and Programs;subject: Giraffes;creative_works: The Woman Who Loves Giraffes (Movie);persons: Dagg, Anne Innis;persons: Reid, Alison (Filmmaker);",2020-01-09T12:00:04+0000,279,‘The Woman Who Loves Giraffes’ Review: Crackers for Animals,,,A Special Spot  In Her Heart,,,,By Jeannette Catsoulis,
Queen & Slim,Η Μαύρη Εμμανουέλα,0,el,,"A woman struggles to keep her stepdaughter from harms way after she hires an assassin to kill her husband, but the hitman turns and blackmails her for the crime.",128.109,91,0,1980-02-01,6.1,82,"['Crime', 'Drama', 'Thriller']","['Greek', 'Italian']","Cyprus, Greece",https://www.nytimes.com/2019/11/26/movies/queen-and-slim-review.html,Daniel Kaluuya and Jodie Turner-Smith star in Melina Matsoukas’s dreamy but intense outlaw romance.,The New York Times,"subject: Movies;creative_works: Queen & Slim (Movie);persons: Matsoukas, Melina;persons: Waithe, Lena;persons: Kaluuya, Daniel;persons: Turner-Smith, Jodie;",2019-11-26T17:41:50+0000,799,‘Queen & Slim’ Review: Love on the Run,critic’s pick,,Love Simmers Inside a Cauldron,,,,By A.O. Scott,
Marriage Story,Marriage Story,18000000,en,https://www.marriagestorymovie.com,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.",56.67,137,2300000,2019-09-28,7.743,6797,['Drama'],['English'],United Kingdom,https://www.nytimes.com/2019/11/05/movies/marriage-story-review.html,"Adam Driver and Scarlett Johansson self-consciously uncouple in Noah Baumbach’s tender, stinging tale of divorce.",The New York Times,"subject: Movies;persons: Baumbach, Noah;creative_works: Marriage Story (Movie);persons: Driver, Adam;persons: Johansson, Scarlett;persons: ALDA, ALAN;persons: Dern, Laura;persons: Liotta, Ray;",2019-11-05T19:01:02+0000,1244,‘Marriage Story’ Review: Dance Me to the End of Love,critic’s pick,,"Friendly Split, Shattering Break",,,,By A.O. Scott,
